OID,ISO,COUNTRY,FERTILITY,CONTACEPT,GDI,INCOMEDSP,GDP
0,12,Algeria,2.74,52,0.861,18949,6.31E+11
1,24,Angola,5.8,17.7,0,1483,1.90E+11
2,72,Botswana,4.9,51.2,0.976,5908,39769942661
3,108,Burundi,1.76,17.7,1.002,-213,8375695972
4,120,Cameroon,6.38,14.1,0.866,1127,88859277154
5,140,Central African Republic,2.9,9.3,0.78,288,3382237785
6,148,Chad,5.08,1.6,0.775,676,28923504311
7,178,Congo,2.39,20,0.934,1578,28192750312
8,180,Democratic Republic of the Congo,2.14,5.4,0.852,186,72165883597
9,204,Benin,1.47,7.4,0.875,534,25326706387
10,226,Equatorial Guinea,2.27,8.4,0,8389,31460069103
11,231,Ethiopia,2.44,27.3,0.846,832,1.99E+11
12,232,Eritrea,3.18,5.1,0,597,6758835465
13,262,Djibouti,2.61,18,0,1795,2342710799
14,266,Gabon,1.8,19.4,0.911,9036,36823316531
15,270,Gambia,2.07,8.1,0.89,702,3601619399
16,288,Ghana,5.8,18.4,0.91,1500,1.34E+11
17,324,Guinea,2.8,3.3,0.81,524,27908224709
18,384,Côte d'Ivoire,3.03,11.9,0.841,1880,96046410943
19,404,Kenya,2.69,38.9,0.931,869,1.63E+11
20,426,Lesotho,1.89,45.6,1.004,1332,6990689440
21,430,Liberia,5.88,19.1,0.846,178,3910691676
22,434,Libya,2.66,20.4,0.929,12849,1.25E+11
23,450,Madagascar,5.71,28.2,0.962,371,39763887263
24,454,Malawi,2.41,42.2,0.936,338,22387439902
25,466,Mali,1.35,9.9,0.811,1215,41004016528
26,478,Mauritania,4.59,8,0.845,3285,17458302854
27,504,Morocco,1.76,56.7,0.838,8364,2.98E+11
28,508,Mozambique,2.6,11.1,0.904,83,37005211621
29,516,Namibia,1.9,53.5,1.014,1012,26542807872
30,562,Niger,5.72,8.3,0.812,428,21834164637
31,566,Nigeria,2.82,9.3,0.868,1575,1.12E+12
32,624,Guinea-Bissau,1.31,10.3,0,574,3164590270
33,646,Rwanda,1.63,44,0.941,496,24852093379
34,686,Senegal,1.36,16,0.911,1410,42992086558
35,694,Sierra Leone,1.27,14.7,0.872,291,11534933236
36,706,Somalia,3.83,1.2,0.224,0,7369000000
37,710,South Africa,1.39,59.8,0.984,5834,7.66E+11
38,716,Zimbabwe,2.29,57.1,0.924,517,34476039352
39,728,South Sudan,4.92,1.2,0.826,240,20707189262
40,729,Sudan,3.92,9,0.831,4670,1.99E+11
41,748,Swaziland,3.68,63,0.943,3919,11616558807
42,768,Togo,1.55,13.2,0.822,378,12240254078
43,788,Tunisia,1.5,50,0.897,11615,1.37E+11
44,800,Uganda,3.02,25.8,0.865,897,79889485851
45,818,Egypt,2.02,57.6,0.872,12408,1.13E+12
46,834,United Republic of Tanzania,5.44,26.1,0.928,755,1.64E+11
47,854,Burkina Faso,1.96,15,0.87,725,35886982641
48,894,Zambia,4.11,26.5,0.941,1152,69235695459
